IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
262144,	262144,	131072,	DSConv1,	0.876241610738255,	0.036241610738255034,	4.1234899328859065,	10.40268456375839,	4.1234899328859065,
262144,	262144,	131072,	WA1,	2.611356681400884,	0.08160489629377762,	5.5708942536552195,	5.309588575314518,	5.5708942536552195,
262144,	262144,	131072,	DSConv2,	0.1445462999867145,	0.05779194898365883,	6.575439528807404,	14.297241043355033,	6.575439528807404,
262144,	262144,	131072,	WA2,	6.090477620907179,	0.19032742565334934,	1.9686392310003005,	12.3731450886152,	1.9686392310003005,
262144,	262144,	131072,	WA2,	6.090477620907179,	0.19032742565334934,	1.9686392310003005,	12.3731450886152,	1.9686392310003005,6.052456594015515,	0.18913926856298485,	2.017485531338505,	12.295961088535895,	2.017485531338505,
262144,	262144,	131072,	DSConv3,	0.0675739089629282,	0.21468793993430316,	6.106679180353511,	13.333020491162209,	6.106679180353511,
262144,	262144,	131072,	WA3,	6.742112125162973,	0.8427640156453716,	1.068057366362451,	13.698956975228162,	1.068057366362451,
262144,	262144,	131072,	WA3,	6.742112125162973,	0.8427640156453716,	1.068057366362451,	13.698956975228162,	1.068057366362451,6.694192127718139,	0.8367740159647674,	1.1274428846683182,	13.60184420589045,	1.1274428846683182,
262144,	262144,	131072,	WA3,	6.742112125162973,	0.8427640156453716,	1.068057366362451,	13.698956975228162,	1.068057366362451,6.694192127718139,	0.8367740159647674,	1.1274428846683182,	13.60184420589045,	1.1274428846683182,6.7575602255253715,	0.8446950281906714,	1.0497180932854946,	13.730266529984624,	1.0497180932854946,
262144,	262144,	131072,	DSConv4,	0.04523323386210146,	0.21438668132558505,	6.098110046594419,	13.325270928223652,	6.098110046594419,
262144,	262144,	131072,	WA4,	7.0393931557624345,	0.8799241444703043,	0.7061460218946642,	14.301439531074907,	0.7061460218946642,
262144,	262144,	131072,	WA4,	7.0393931557624345,	0.8799241444703043,	0.7061460218946642,	14.301439531074907,	0.7061460218946642,6.990087899756873,	0.8737609874696092,	0.7660370301103423,	14.201514868150365,	0.7660370301103423,
262144,	262144,	131072,	WA4,	7.0393931557624345,	0.8799241444703043,	0.7061460218946642,	14.301439531074907,	0.7061460218946642,6.990087899756873,	0.8737609874696092,	0.7660370301103423,	14.201514868150365,	0.7660370301103423,6.99815293683044,	0.874769117103805,	0.7565570742519394,	14.21786110084965,	0.7565570742519394,
262144,	262144,	131072,	WA4,	7.0393931557624345,	0.8799241444703043,	0.7061460218946642,	14.301439531074907,	0.7061460218946642,6.990087899756873,	0.8737609874696092,	0.7660370301103423,	14.201514868150365,	0.7660370301103423,6.99815293683044,	0.874769117103805,	0.7565570742519394,	14.21786110084965,	0.7565570742519394,6.97400479616307,	0.8717505995203837,	0.7858033573141486,	14.168920863309353,	0.7858033573141486,
262144,	262144,	131072,	DSConv5,	0.03489386449549287,	0.8178249491131143,	5.815644082582146,	12.649171270718233,	5.815644082582146,
262144,	262144,	131072,	WA5,	7.129891956782713,	3.5649459783913566,	0.4917166866746699,	14.490036014405762,	0.4917166866746699,
262144,	262144,	131072,	WA5,	7.129891956782713,	3.5649459783913566,	0.4917166866746699,	14.490036014405762,	0.4917166866746699,7.137939165291205,	3.5689695826456025,	0.4829049752416883,	14.50624852629097,	0.4829049752416883,
262144,	262144,	131072,	WA5,	7.129891956782713,	3.5649459783913566,	0.4917166866746699,	14.490036014405762,	0.4917166866746699,7.137939165291205,	3.5689695826456025,	0.4829049752416883,	14.50624852629097,	0.4829049752416883,7.139562249941163,	3.5697811249705813,	0.481995763709108,	14.509531654506942,	0.481995763709108,
262144,	262144,	131072,	WA5,	7.129891956782713,	3.5649459783913566,	0.4917166866746699,	14.490036014405762,	0.4917166866746699,7.137939165291205,	3.5689695826456025,	0.4829049752416883,	14.50624852629097,	0.4829049752416883,7.139562249941163,	3.5697811249705813,	0.481995763709108,	14.509531654506942,	0.481995763709108,7.102102862933874,	3.551051431466937,	0.5188750950088675,	14.43400050671396,	0.5188750950088675,
262144,	262144,	131072,	WA5,	7.129891956782713,	3.5649459783913566,	0.4917166866746699,	14.490036014405762,	0.4917166866746699,7.137939165291205,	3.5689695826456025,	0.4829049752416883,	14.50624852629097,	0.4829049752416883,7.139562249941163,	3.5697811249705813,	0.481995763709108,	14.509531654506942,	0.481995763709108,7.102102862933874,	3.551051431466937,	0.5188750950088675,	14.43400050671396,	0.5188750950088675,7.1411792342024905,	3.5705896171012452,	0.4810899694620625,	14.512802443035001,	0.4810899694620625,
262144,	262144,	131072,	WA5,	7.129891956782713,	3.5649459783913566,	0.4917166866746699,	14.490036014405762,	0.4917166866746699,7.137939165291205,	3.5689695826456025,	0.4829049752416883,	14.50624852629097,	0.4829049752416883,7.139562249941163,	3.5697811249705813,	0.481995763709108,	14.509531654506942,	0.481995763709108,7.102102862933874,	3.551051431466937,	0.5188750950088675,	14.43400050671396,	0.5188750950088675,7.1411792342024905,	3.5705896171012452,	0.4810899694620625,	14.512802443035001,	0.4810899694620625,6.043343653250774,	3.021671826625387,	1.585139318885449,	12.29953560371517,	1.585139318885449,
262144,	262144,	131072,	DSConv6,	0.02681863895407308,	0.8196446530338586,	5.828584199351883,	12.670354229522852,	5.828584199351883,
262144,	262144,	131072,	WA6,	7.202782893390628,	3.601391446695314,	0.4190710047063638,	14.636996112134234,	0.4190710047063638,
262144,	262144,	131072,	WA6,	7.202782893390628,	3.601391446695314,	0.4190710047063638,	14.636996112134234,	0.4190710047063638,7.169244365885992,	3.584622182942996,	0.45249668581528946,	14.569376933274414,	0.45249668581528946,
262144,	262144,	131072,	WA6,	7.202782893390628,	3.601391446695314,	0.4190710047063638,	14.636996112134234,	0.4190710047063638,7.169244365885992,	3.584622182942996,	0.45249668581528946,	14.569376933274414,	0.45249668581528946,7.180017226528855,	3.5900086132644273,	0.4409991386735573,	14.59108527131783,	0.4409991386735573,
262144,	262144,	131072,	WA6,	7.202782893390628,	3.601391446695314,	0.4190710047063638,	14.636996112134234,	0.4190710047063638,7.169244365885992,	3.584622182942996,	0.45249668581528946,	14.569376933274414,	0.45249668581528946,7.180017226528855,	3.5900086132644273,	0.4409991386735573,	14.59108527131783,	0.4409991386735573,7.121545610173636,	3.560772805086818,	0.5008559550012228,	14.473220836390315,	0.5008559550012228,
262144,	262144,	131072,	DSConv7,	0.037082818294190356,	0.813504326328801,	5.784919653893696,	12.61124845488257,	5.784919653893696,
262144,	262144,	131072,	WA7,	6.835190165194007,	3.4175950825970034,	0.7867844794467922,	13.895889358432578,	0.7867844794467922,
262144,	262144,	131072,	WA7,	6.835190165194007,	3.4175950825970034,	0.7867844794467922,	13.895889358432578,	0.7867844794467922,6.903724525650035,	3.4518622628250175,	0.7196064652143359,	14.034082923401265,	0.7196064652143359,
262144,	262144,	131072,	WA7,	6.835190165194007,	3.4175950825970034,	0.7867844794467922,	13.895889358432578,	0.7867844794467922,6.903724525650035,	3.4518622628250175,	0.7196064652143359,	14.034082923401265,	0.7196064652143359,6.878721859114016,	3.439360929557008,	0.7436456063907044,	13.983660130718954,	0.7436456063907044,
262144,	262144,	131072,	WA7,	6.835190165194007,	3.4175950825970034,	0.7867844794467922,	13.895889358432578,	0.7867844794467922,6.903724525650035,	3.4518622628250175,	0.7196064652143359,	14.034082923401265,	0.7196064652143359,6.878721859114016,	3.439360929557008,	0.7436456063907044,	13.983660130718954,	0.7436456063907044,6.313901345291479,	3.1569506726457397,	1.3119795003203074,	12.844971172325433,	1.3119795003203074,
262144,	262144,	131072,	DSConv8,	0.03829787234042553,	2.4414893617021276,	4.340425531914893,	11.313297872340426,	4.340425531914893,
262144,	262144,	131072,	WA8,	3.521472392638037,	7.042944785276074,	0.39263803680981596,	10.808282208588958,	0.39263803680981596,
262144,	262144,	131072,	WA8,	3.521472392638037,	7.042944785276074,	0.39263803680981596,	10.808282208588958,	0.39263803680981596,3.4365634365634365,	6.873126873126873,	0.5114885114885115,	10.555444555444556,	0.5114885114885115,
262144,	262144,	131072,	DSConv9,	0.09,	2.3625,	4.2,	11.04625,	4.2,
262144,	262144,	131072,	WA9,	3.149384885764499,	6.298769771528998,	0.8998242530755711,	9.699472759226714,	0.8998242530755711,
262144,	262144,	131072,	DSConv10,	0.22570532915360503,	2.115987460815047,	3.761755485893417,	10.18808777429467,	3.761755485893417,
262144,	262144,	131072,	WA10,	2.7768595041322315,	5.553719008264463,	1.4104683195592287,	8.589531680440771,	1.4104683195592287,
262144,	262144,	131072,	DSConv11,	0.12244897959183673,	4.821428571428571,	2.142857142857143,	5.8520408163265305,	2.142857142857143,
262144,	262144,	131072,	WA11,	0.8208092485549133,	6.566473988439307,	0.3699421965317919,	7.682080924855492,	0.3699421965317919,
262144,	262144,	131072,	DSConv12,	0.17391304347826086,	4.239130434782608,	1.8840579710144927,	5.3768115942028984,	1.8840579710144927,
262144,	262144,	131072,	WA12,	0.6936416184971098,	5.5491329479768785,	0.7398843930635838,	6.595375722543353,	0.7398843930635838,
262144,	262144,	131072,	DSConv13,	0.20168067226890757,	4.159663865546219,	1.8487394957983194,	5.100840336134453,	1.8487394957983194,
262144,	262144,	131072,	WA13,	0.6863905325443787,	5.491124260355029,	0.757396449704142,	6.5325443786982245,	0.757396449704142,
262144,	262144,	131072,	WA13,	0.6863905325443787,	5.491124260355029,	0.757396449704142,	6.5325443786982245,	0.757396449704142,0.6285714285714286,	5.0285714285714285,	0.9142857142857143,	6.035714285714286,	0.9142857142857143,
262144,	262144,	131072,	WA13,	0.6863905325443787,	5.491124260355029,	0.757396449704142,	6.5325443786982245,	0.757396449704142,0.6285714285714286,	5.0285714285714285,	0.9142857142857143,	6.035714285714286,	0.9142857142857143,0.5565217391304348,	4.452173913043478,	1.1130434782608696,	5.417391304347826,	1.1130434782608696,
262144,	262144,	131072,	FC1,	0.014647887323943662,	7.499718309859155,	0.09615023474178404,	7.974272300469484,	0.09615023474178404,
262144,	262144,	131072,	FC2,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
262144,	262144,	131072,	FC3,	0.4951644100580271,	4.951644100580271,	0.009671179883945842,	5.950676982591876,	0.009671179883945842,
